timestamp,fuel_level_l,fuel_consumption_lph,inflow_l,estimated_days_remaining,reorder_threshold_l,resupply_status
2024-01-01 00:00:00,100000.0,337.11,26457.9,12.4,30000,SCHEDULED
2024-01-01 01:00:00,99979.8,484.27,0.0,8.6,30000,NORMAL
2024-01-01 02:00:00,99963.3,395.95,0.0,10.5,30000,NORMAL
2024-01-01 03:00:00,99943.9,465.13,0.0,9.0,30000,NORMAL
2024-01-01 04:00:00,99927.9,384.07,0.0,10.8,30000,NORMAL
2024-01-01 05:00:00,99909.4,445.13,0.0,9.4,30000,NORMAL
2024-01-01 06:00:00,99889.9,467.94,0.0,8.9,30000,NORMAL
2024-01-01 07:00:00,99869.7,484.68,0.0,8.6,30000,NORMAL
2024-01-01 08:00:00,99850.1,469.81,0.0,8.9,30000,NORMAL
2024-01-01 09:00:00,99835.3,355.29,0.0,11.7,30000,NORMAL
2024-01-01 10:00:00,99815.9,465.11,0.0,8.9,30000,NORMAL
2024-01-01 11:00:00,99792.6,559.04,0.0,7.4,30000,NORMAL
2024-01-01 12:00:00,99773.1,469.64,0.0,8.9,30000,NORMAL
2024-01-01 13:00:00,99757.2,380.74,0.0,10.9,30000,NORMAL
2024-01-01 14:00:00,99739.9,414.49,0.0,10.0,30000,NORMAL
2024-01-01 15:00:00,99722.3,424.42,0.0,9.8,30000,NORMAL
2024-01-01 16:00:00,99708.4,333.42,0.0,12.5,30000,NORMAL
2024-01-01 17:00:00,99689.4,455.03,0.0,9.1,30000,NORMAL
2024-01-01 18:00:00,99671.4,432.48,0.0,9.6,30000,NORMAL
2024-01-01 19:00:00,99653.3,434.82,0.0,9.5,30000,NORMAL
2024-01-01 20:00:00,99634.8,443.77,0.0,9.4,30000,NORMAL
2024-01-01 21:00:00,99617.5,413.9,0.0,10.0,30000,NORMAL
2024-01-01 22:00:00,99597.0,492.75,0.0,8.4,30000,NORMAL
2024-01-01 23:00:00,99577.9,459.2,0.0,9.0,30000,NORMAL
2024-01-02 00:00:00,99560.2,423.31,0.0,9.8,30000,NORMAL
2024-01-02 01:00:00,99540.6,472.25,0.0,8.8,30000,NORMAL
2024-01-02 02:00:00,99521.1,467.77,0.0,8.9,30000,NORMAL
2024-01-02 03:00:00,99504.3,402.25,0.0,10.3,30000,NORMAL
2024-01-02 04:00:00,99485.9,441.35,0.0,9.4,30000,NORMAL
2024-01-02 05:00:00,99467.5,441.28,0.0,9.4,30000,NORMAL
2024-01-02 06:00:00,99450.0,420.74,0.0,9.8,30000,NORMAL
2024-01-02 07:00:00,99434.1,382.16,0.0,10.8,30000,NORMAL
2024-01-02 08:00:00,99416.6,419.19,0.0,9.9,30000,NORMAL
2024-01-02 09:00:00,99395.2,513.32,0.0,8.1,30000,NORMAL
2024-01-02 10:00:00,99377.8,417.55,0.0,9.9,30000,NORMAL
2024-01-02 11:00:00,99357.2,494.95,0.0,8.4,30000,NORMAL
2024-01-02 12:00:00,99338.5,448.23,0.0,9.2,30000,NORMAL
2024-01-02 13:00:00,99319.4,458.38,0.0,9.0,30000,NORMAL
2024-01-02 14:00:00,99303.2,388.79,0.0,10.6,30000,NORMAL
2024-01-02 15:00:00,99282.0,508.2,0.0,8.1,30000,NORMAL
2024-01-02 16:00:00,99259.0,553.01,0.0,7.5,30000,NORMAL
2024-01-02 17:00:00,99241.7,415.09,0.0,10.0,30000,NORMAL
2024-01-02 18:00:00,99220.2,515.18,0.0,8.0,30000,NORMAL
2024-01-02 19:00:00,99204.1,386.54,0.0,10.7,30000,NORMAL
2024-01-02 20:00:00,99185.5,447.31,0.0,9.2,30000,NORMAL
2024-01-02 21:00:00,99169.2,391.38,0.0,10.6,30000,NORMAL
2024-01-02 22:00:00,99149.7,468.87,0.0,8.8,30000,NORMAL
2024-01-02 23:00:00,99131.3,439.8,0.0,9.4,30000,NORMAL
2024-01-03 00:00:00,99112.7,447.46,0.0,9.2,30000,NORMAL
2024-01-03 01:00:00,99091.2,515.6,0.0,8.0,30000,NORMAL
2024-01-03 02:00:00,99069.9,512.18,0.0,8.1,30000,NORMAL
2024-01-03 03:00:00,99051.5,441.39,0.0,9.4,30000,NORMAL
2024-01-03 04:00:00,99030.4,505.36,0.0,8.2,30000,NORMAL
2024-01-03 05:00:00,99009.3,507.52,0.0,8.1,30000,NORMAL
