timestamp,generator_id,total_power_kw,generator_load_pct,voltage,current,frequency,power_factor,generator_temp_c,runtime_hours,status
2024-01-01 00:00:00,GEN_M01,59.98,48.0,400.97,85.68,50.076,0.915,29.5,8406.6,RUNNING
2024-01-01 00:00:00,GEN_M02,54.49,43.6,401.15,77.85,49.977,0.931,32.9,9272.8,RUNNING
2024-01-01 00:00:00,GEN_M03,58.06,46.5,397.41,82.95,49.972,0.9,25.9,10045.0,RUNNING
2024-01-01 00:00:00,GEN_B01,58.61,46.9,399.66,83.72,50.003,0.892,32.7,12146.9,RUNNING
2024-01-01 00:00:00,GEN_B02,47.62,38.1,399.1,68.03,49.985,0.908,30.5,8854.3,RUNNING
2024-01-01 01:00:00,GEN_M01,70.14,56.1,398.17,100.2,50.01,0.881,31.4,11827.0,RUNNING
2024-01-01 01:00:00,GEN_M02,61.79,49.4,399.83,88.27,49.985,0.89,30.1,13801.2,RUNNING
2024-01-01 01:00:00,GEN_M03,50.85,40.7,397.36,72.64,50.016,0.912,30.4,8521.9,RUNNING
2024-01-01 01:00:00,GEN_B01,51.17,40.9,401.55,73.1,50.047,0.903,31.0,14041.7,RUNNING
2024-01-01 01:00:00,GEN_B02,53.93,43.1,399.72,77.04,49.945,0.896,28.8,13107.2,RUNNING
2024-01-01 02:00:00,GEN_M01,55.71,44.6,400.54,79.59,49.968,0.927,31.7,13396.8,RUNNING
2024-01-01 02:00:00,GEN_M02,67.79,54.2,401.23,96.84,50.004,0.914,24.5,10200.5,RUNNING
2024-01-01 02:00:00,GEN_M03,54.6,43.7,402.22,78.0,49.974,0.904,30.5,14507.9,RUNNING
2024-01-01 02:00:00,GEN_B01,52.49,42.0,400.49,74.98,49.974,0.93,31.6,14247.9,RUNNING
2024-01-01 02:00:00,GEN_B02,50.98,40.8,399.41,72.84,49.927,0.926,29.1,8048.7,RUNNING
2024-01-01 03:00:00,GEN_M01,58.21,46.6,399.37,83.15,49.983,0.904,26.9,14600.4,RUNNING
2024-01-01 03:00:00,GEN_M02,70.4,56.3,400.39,100.57,49.996,0.882,30.1,9993.9,RUNNING
2024-01-01 03:00:00,GEN_M03,56.05,44.8,403.69,80.07,49.99,0.926,29.9,9014.3,RUNNING
2024-01-01 03:00:00,GEN_B01,64.82,51.9,401.19,92.6,49.955,0.948,31.2,12434.7,RUNNING
2024-01-01 03:00:00,GEN_B02,45.74,36.6,399.15,65.34,50.005,0.91,27.8,12743.0,MAINTENANCE
2024-01-01 04:00:00,GEN_M01,44.62,35.7,398.41,63.74,50.024,0.902,29.9,14557.1,RUNNING
2024-01-01 04:00:00,GEN_M02,67.87,54.3,399.52,96.96,50.041,0.895,28.2,13720.6,RUNNING
2024-01-01 04:00:00,GEN_M03,44.19,35.4,400.39,63.13,50.039,0.895,30.1,13081.7,RUNNING
2024-01-01 04:00:00,GEN_B01,46.35,37.1,400.52,66.21,49.966,0.925,30.2,9131.4,RUNNING
2024-01-01 04:00:00,GEN_B02,58.45,46.8,402.8,83.5,50.024,0.896,28.3,12985.3,RUNNING
2024-01-01 05:00:00,GEN_M01,61.17,48.9,398.77,87.39,50.048,0.928,32.1,12603.3,RUNNING
2024-01-01 05:00:00,GEN_M02,54.41,43.5,398.67,77.73,49.959,0.918,28.2,14244.3,RUNNING
2024-01-01 05:00:00,GEN_M03,58.81,47.0,402.18,84.01,49.987,0.974,29.8,9366.7,RUNNING
2024-01-01 05:00:00,GEN_B01,48.22,38.6,399.66,68.88,50.036,0.929,30.7,14745.3,RUNNING
2024-01-01 05:00:00,GEN_B02,55.7,44.6,397.73,79.58,49.978,0.937,28.0,9186.4,RUNNING
2024-01-01 06:00:00,GEN_M01,82.98,66.4,398.67,118.55,50.008,0.921,30.5,14141.6,RUNNING
