timestamp,zone_id,indoor_temp_c,indoor_humidity_pct,outdoor_temp_c,co2_ppm,airflow_m3h,heating_load_kw,fan_speed_pct,ahu_status
2024-01-01 00:00:00,ZONE_M01,15.6,44.9,-10.2,472.0,770.0,15.0,90.0,RUNNING
2024-01-01 00:00:00,ZONE_M02,16.3,38.5,-9.4,449.0,770.0,15.0,90.0,RUNNING
2024-01-01 00:00:00,ZONE_M03,15.8,46.4,-8.2,493.0,770.0,15.0,90.0,RUNNING
2024-01-01 00:00:00,ZONE_B01,15.7,36.9,-8.1,468.0,770.0,15.0,90.0,RUNNING
2024-01-01 00:00:00,ZONE_B02,15.4,41.1,-11.5,503.0,770.0,15.0,90.0,RUNNING
2024-01-01 01:00:00,ZONE_M01,15.7,44.6,-13.0,476.0,770.0,15.0,90.0,RUNNING
2024-01-01 01:00:00,ZONE_M02,16.6,40.0,-9.8,455.0,770.0,15.0,90.0,RUNNING
2024-01-01 01:00:00,ZONE_M03,16.2,40.7,-7.8,495.0,770.0,15.0,90.0,RUNNING
2024-01-01 01:00:00,ZONE_B01,15.2,42.3,-10.1,477.0,770.0,15.0,90.0,RUNNING
2024-01-01 01:00:00,ZONE_B02,15.6,34.8,-9.5,393.0,770.0,15.0,90.0,RUNNING
2024-01-01 02:00:00,ZONE_M01,15.8,38.5,-13.8,503.0,770.0,15.0,90.0,RUNNING
2024-01-01 02:00:00,ZONE_M02,16.6,36.0,-15.6,444.0,770.0,15.0,90.0,RUNNING
2024-01-01 02:00:00,ZONE_M03,16.1,39.9,-8.5,484.0,770.0,15.0,90.0,RUNNING
2024-01-01 02:00:00,ZONE_B01,16.5,45.1,-10.0,497.0,770.0,15.0,90.0,RUNNING
2024-01-01 02:00:00,ZONE_B02,15.7,46.7,-12.5,505.0,770.0,15.0,90.0,RUNNING
2024-01-01 03:00:00,ZONE_M01,16.6,39.9,-6.0,492.0,770.0,15.0,90.0,RUNNING
2024-01-01 03:00:00,ZONE_M02,15.8,43.8,-8.2,501.0,770.0,15.0,90.0,RUNNING
2024-01-01 03:00:00,ZONE_M03,16.1,35.4,-8.4,504.0,770.0,15.0,90.0,RUNNING
2024-01-01 03:00:00,ZONE_B01,16.0,38.5,-11.6,418.0,770.0,15.0,90.0,RUNNING
2024-01-01 03:00:00,ZONE_B02,16.1,38.5,-10.3,447.0,770.0,15.0,90.0,RUNNING
2024-01-01 04:00:00,ZONE_M01,15.7,46.1,-11.3,547.0,770.0,15.0,90.0,RUNNING
2024-01-01 04:00:00,ZONE_M02,15.6,39.6,-8.8,500.0,770.0,15.0,90.0,RUNNING
2024-01-01 04:00:00,ZONE_M03,16.5,44.1,-13.9,493.0,770.0,15.0,90.0,RUNNING
2024-01-01 04:00:00,ZONE_B01,15.5,43.7,-11.6,494.0,770.0,15.0,90.0,RUNNING
2024-01-01 04:00:00,ZONE_B02,16.3,44.7,-11.5,528.0,770.0,15.0,90.0,RUNNING
