timestamp,zone_id,occupancy,indoor_temp_c,outdoor_temp_c,heating_load_kw
2024-01-01 00:00:00,ZONE_M01,0.06,17.6,-6.8,0.28
2024-01-01 00:00:00,ZONE_M02,0.06,18.5,-6.8,0.28
2024-01-01 00:00:00,ZONE_M03,0.06,18.8,-6.8,0.28
2024-01-01 00:00:00,ZONE_B01,0.06,17.3,-6.8,0.28
2024-01-01 00:00:00,ZONE_B02,0.06,18.2,-6.8,0.28
2024-01-01 01:00:00,ZONE_M01,0.18,18.3,-11.8,0.38
2024-01-01 01:00:00,ZONE_M02,0.18,18.2,-11.8,0.38
2024-01-01 01:00:00,ZONE_M03,0.18,19.2,-11.8,0.38
2024-01-01 01:00:00,ZONE_B01,0.18,18.8,-11.8,0.38
2024-01-01 01:00:00,ZONE_B02,0.18,19.0,-11.8,0.38
2024-01-01 02:00:00,ZONE_M01,0.23,17.8,-10.5,0.37
2024-01-01 02:00:00,ZONE_M02,0.23,19.1,-10.5,0.37
2024-01-01 02:00:00,ZONE_M03,0.23,17.6,-10.5,0.37
2024-01-01 02:00:00,ZONE_B01,0.23,18.3,-10.5,0.37
2024-01-01 02:00:00,ZONE_B02,0.23,18.1,-10.5,0.37
2024-01-01 03:00:00,ZONE_M01,0.2,19.0,-10.8,0.37
2024-01-01 03:00:00,ZONE_M02,0.2,18.9,-10.8,0.37
2024-01-01 03:00:00,ZONE_M03,0.2,19.1,-10.8,0.37
2024-01-01 03:00:00,ZONE_B01,0.2,18.7,-10.8,0.37
2024-01-01 03:00:00,ZONE_B02,0.2,18.6,-10.8,0.37
2024-01-01 04:00:00,ZONE_M01,0.16,17.4,-11.8,0.37
2024-01-01 04:00:00,ZONE_M02,0.16,18.8,-11.8,0.37
2024-01-01 04:00:00,ZONE_M03,0.16,18.7,-11.8,0.37
2024-01-01 04:00:00,ZONE_B01,0.16,19.1,-11.8,0.37
2024-01-01 04:00:00,ZONE_B02,0.16,18.0,-11.8,0.37
2024-01-01 05:00:00,ZONE_M01,0.13,18.4,-10.4,0.34
2024-01-01 05:00:00,ZONE_M02,0.13,17.2,-10.4,0.34
2024-01-01 05:00:00,ZONE_M03,0.13,17.9,-10.4,0.34
2024-01-01 05:00:00,ZONE_B01,0.13,18.3,-10.4,0.34
2024-01-01 05:00:00,ZONE_B02,0.13,18.3,-10.4,0.34
