timestamp,system_id,tank_level_pct,inlet_flow_lpm,output_flow_lpm,pressure_bar,tds_ppm,pump_status,wastewater_flow_lpm,quality_status
2024-01-01 00:00:00,WATER_M01,85.0,0.0,4.91,3.53,173.0,RUNNING,3.93,GOOD
2024-01-01 00:00:00,WATER_B01,85.0,0.0,3.91,3.44,164.0,RUNNING,3.13,GOOD
2024-01-01 01:00:00,WATER_M01,85.0,0.0,2.24,3.45,193.0,RUNNING,1.79,GOOD
2024-01-01 01:00:00,WATER_B01,85.0,0.0,2.81,3.57,191.0,RUNNING,2.25,GOOD
2024-01-01 02:00:00,WATER_M01,85.0,0.0,2.82,3.11,168.0,RUNNING,2.25,GOOD
2024-01-01 02:00:00,WATER_B01,85.0,0.0,2.06,3.34,186.0,RUNNING,1.65,GOOD
2024-01-01 03:00:00,WATER_M01,85.0,0.0,3.36,3.09,190.0,RUNNING,2.69,GOOD
2024-01-01 03:00:00,WATER_B01,85.0,0.0,3.93,3.24,191.0,RUNNING,3.14,GOOD
2024-01-01 04:00:00,WATER_M01,85.0,0.0,2.84,3.39,157.0,RUNNING,2.27,GOOD
2024-01-01 04:00:00,WATER_B01,85.0,0.5,3.93,3.5,160.0,RUNNING,3.14,GOOD
2024-01-01 05:00:00,WATER_M01,85.0,0.0,2.8,3.43,169.0,RUNNING,2.24,GOOD
2024-01-01 05:00:00,WATER_B01,85.0,0.0,2.24,3.31,174.0,RUNNING,1.79,GOOD
2024-01-01 06:00:00,WATER_M01,85.0,0.0,14.51,3.72,191.0,RUNNING,11.61,GOOD
2024-01-01 06:00:00,WATER_B01,85.0,0.0,16.34,3.36,174.0,RUNNING,13.07,GOOD
2024-01-01 07:00:00,WATER_M01,85.0,0.0,13.59,3.48,166.0,RUNNING,10.87,GOOD
2024-01-01 07:00:00,WATER_B01,84.9,0.0,16.91,3.44,189.0,RUNNING,13.53,GOOD
2024-01-01 08:00:00,WATER_M01,84.9,0.0,15.0,3.53,177.0,RUNNING,12.0,GOOD
2024-01-01 08:00:00,WATER_B01,84.9,0.0,14.93,3.4,182.0,RUNNING,11.94,GOOD
2024-01-01 09:00:00,WATER_M01,84.9,0.0,11.55,3.58,175.0,RUNNING,9.24,GOOD
2024-01-01 09:00:00,WATER_B01,84.9,0.0,16.35,4.05,165.0,RUNNING,13.08,GOOD
